move.rate,aspect.effect,asp.mag,seeds
0,-1,0,11
0.25,-1,0,11
0.5,-1,0,11
0,0,0,11
0.25,0,0,11
0.5,0,0,11
0,1,0,11
0.25,1,0,11
0.5,1,0,11
0,-1,1,11
0.25,-1,1,11
0.5,-1,1,11
0,0,1,11
0.25,0,1,11
0.5,0,1,11
0,1,1,11
0.25,1,1,11
0.5,1,1,11
0,-1,2,12
0.25,-1,2,12
0.5,-1,2,12
0,0,2,11
0.25,0,2,11
0.5,0,2,11
0,1,2,12
0.25,1,2,12
0.5,1,2,12
0,-1,3,14
0.25,-1,3,14
0.5,-1,3,14
0,0,3,11
0.25,0,3,11
0.5,0,3,11
0,1,3,14
0.25,1,3,14
0.5,1,3,14
0,-1,4,16
0.25,-1,4,16
0.5,-1,4,16
0,0,4,11
0.25,0,4,11
0.5,0,4,11
0,1,4,16
0.25,1,4,16
0.5,1,4,16
0,-1,5,21
0.25,-1,5,21
0.5,-1,5,21
0,0,5,11
0.25,0,5,11
0.5,0,5,11
0,1,5,21
0.25,1,5,21
0.5,1,5,21
0,-1,6,29
0.25,-1,6,29
0.5,-1,6,29
0,0,6,11
0.25,0,6,11
0.5,0,6,11
0,1,6,29
0.25,1,6,29
0.5,1,6,29
0,-1,7,42
0.25,-1,7,42
0.5,-1,7,42
0,0,7,11
0.25,0,7,11
0.5,0,7,11
0,1,7,42
0.25,1,7,42
0.5,1,7,42
0,-1,8,66
0.25,-1,8,66
0.5,-1,8,66
0,0,8,11
0.25,0,8,11
0.5,0,8,11
0,1,8,67
0.25,1,8,67
0.5,1,8,67
0,-1,9,112
0.25,-1,9,112
0.5,-1,9,112
0,0,9,11
0.25,0,9,11
0.5,0,9,11
0,1,9,114
0.25,1,9,114
0.5,1,9,114
0,-1,10,206
0.25,-1,10,206
0.5,-1,10,206
0,0,10,11
0.25,0,10,11
0.5,0,10,11
0,1,10,210
0.25,1,10,210
0.5,1,10,210
0,-1,11,407
0.25,-1,11,407
0.5,-1,11,407
0,0,11,11
0.25,0,11,11
0.5,0,11,11
0,1,11,415
0.25,1,11,415
0.5,1,11,415
0,-1,12,850
0.25,-1,12,850
0.5,-1,12,850
0,0,12,11
0.25,0,12,11
0.5,0,12,11
0,1,12,865
0.25,1,12,865
0.5,1,12,865
0,-1,13,1831
0.25,-1,13,1831
0.5,-1,13,1831
0,0,13,11
0.25,0,13,11
0.5,0,13,11
0,1,13,1862
0.25,1,13,1862
0.5,1,13,1862
0,-1,14,3945
0.25,-1,14,3945
0.5,-1,14,3945
0,0,14,11
0.25,0,14,11
0.5,0,14,11
0,1,14,4008
0.25,1,14,4008
0.5,1,14,4008
0,-1,15,8234
0.25,-1,15,8234
0.5,-1,15,8234
0,0,15,11
0.25,0,15,11
0.5,0,15,11
0,1,15,8345
0.25,1,15,8345
0.5,1,15,8345
0,-1,16,16163
0.25,-1,16,16163
0.5,-1,16,16163
0,0,16,11
0.25,0,16,11
0.5,0,16,11
0,1,16,16340
0.25,1,16,16340
0.5,1,16,16340
0,-1,17,29262
0.25,-1,17,29262
0.5,-1,17,29262
0,0,17,11
0.25,0,17,11
0.5,0,17,11
0,1,17,29521
0.25,1,17,29521
0.5,1,17,29521
0,-1,18,48471
0.25,-1,18,48471
0.5,-1,18,48471
0,0,18,11
0.25,0,18,11
0.5,0,18,11
0,1,18,48835
0.25,1,18,48835
0.5,1,18,48835
0,-1,19,73570
0.25,-1,19,73570
0.5,-1,19,73570
0,0,19,11
0.25,0,19,11
0.5,0,19,11
0,1,19,74073
0.25,1,19,74073
0.5,1,19,74073
0,-1,20,103074
0.25,-1,20,103074
0.5,-1,20,103074
0,0,20,11
0.25,0,20,11
0.5,0,20,11
0,1,20,103753
0.25,1,20,103753
0.5,1,20,103753
